Para actualizar acceder a la siguiente página: https://www.asamblea.go.cr/Centro_de_informacion/Consultas_SIL/SitePages/ConsultaProyectos.aspx,,,
Proyecto de interés,Número de Expediente ,Título de Expediente,Fecha de inicio
TRUE,24468,MODIFICACIÓN AL DECRETO EJECUTIVO N°44490-MP PARA LA CONVOCATORIA DEL PROYECTO A REFERÉNDUM PARA QUE LA CIUDADANÍA APRUEBE O IMPRUEBE EL PROYECTO DE LEY TITULADO: LEY JAGUAR PARA EL IMPULSO DEL DESARROLLO DE COSTA RICA,30/07/2024
TRUE,24467,LEY JAGUAR PARA EL IMPULSO DEL DESARROLLO DE COSTA RICA,30/07/2024
FALSE,24466,"REFORMA DE VARIOS ARTÍCULOS DE LA LEY ORGÁNICA DEL AMBIENTE NÚMERO 7554 DEL 4 DE OCTUBRE DE 1995, Y ADICIÓN DE DOS INCISOS AL ARTÍCULO 4 DEL CÓDIGO MUNICIPAL LEY NÚMERO 7794, DEL 30 DE ABRIL DE 19989, PARA TRANSFERIR COMPETENCIAS A LAS MUNICIPALIDADES Y MODERNIZAR ESTRUCTURALMENTE LA SETENA Y EL MODELO DE EVALUACION DE IMPACTO AMBIENTAL",30/07/2024
FALSE,24465,"RATIFICACIÓN O NO DE LA SEÑORA MARÍA DEL MAR MUNGUÍA RAMÍREZ, COMO MIEMBRO DE LA JUNTA DIRECTIVA DEL BANCO CENTRAL DE COSTA RICA",29/07/2024
TRUE,24464,LEY PARA PROMOVER EL DESARROLLO DE INFRAESTRUCTURA ESTATAL,30/07/2024
FALSE,24463,LEY PARA FORTALECER EL FINANCIAMIENTO DEL DEPORTE DE ALTO RENDIMIENTO,29/07/2024
TRUE,24462,MODIFICACIÓN DE LA LEY N° 10332 AUTORIZACIÓN PARA EMITIR TÍTULOS VALORES EN EL MERCADO INTERNACIONAL,29/07/2024
TRUE,24461,"REFORMA DE LOS ARTÍCULOS 18, 20, 21 Y 22 DE LA LEY N.° 1758, LEY DE RADIO, DE 19 DE JUNIO DE 1954 Y ADICIÓN DE UN SUBINCISO H) AL ARTÍCULO 22 INCISO 1 DE LA LEY Nº 8642, LEY GENERAL DE TELECOMUNICACIONES, DE 30 DE JUNIO DE 2008.",29/07/2024
FALSE,24460,"REELECCIÓN O NO DEL MAGISTRADO DE LA SALA SEGUNDA DE LA CORTE SUPREMA DE JUSTICIA, LUIS PORFIRIO SÁNCHEZ RODRÍGUEZ",26/07/2024
FALSE,24459,"REFORMA DEL ARTÍCULO 235 Y DEL INCISO 1) DEL ARTÍCULO 242 DE LA LEY GENERAL DE MIGRACIÓN Y EXTRANJERÍA N.º 8764 PUBLICADA EN LA GACETA N.º 170 DE 1º DE SETIEMBRE DE 2009, Y SUS REFORMAS, PARA DOTAR DE RECURSOS A LA DIRECCIÓN GENERAL DE MIGRACIÓN Y EXTRANJERÍA, PARA FORTALECER LA POLICÍA PROFESIONAL DE MIGRACION",22/07/2024
FALSE,24458,LEY DE PROMOCIÓN Y FOMENTO DE LA CULTURA COSTARRICENSE EN LA ACTIVIDAD TURÍSTICA,22/07/2024
FALSE,24457,LEY PARA ERRADICAR LA NARCOCULTURA EN LA SOCIEDAD COSTARRICENSE,22/07/2024
FALSE,24456,"INTERPRETACIÓN AUTÉNTICA DEL ARTÍCULO 3, INCISO H) DE LA LEY N.º 8642, DEL 30 DE JUNIO DE 2008, LEY GENERAL DE TELECOMUNICACIONES.",22/07/2024
FALSE,24455,LEY DE SEGUIMIENTO DE MONITOREO ELECTRÓNICO EN MATERIA DE PENSIONES ALIMENTARIAS,18/07/2024
FALSE,24454,"LEY PARA EL RECONOCIMIENTO DE LAS PRÁCTICAS ANCESTRALES DE LOS PUEBLOS INDÍGENAS: REFORMA DE LA LEY FORESTAL, LEY N.º 7575 DEL 13 DE FEBRERO DE 1996 Y SUS REFORMAS",17/07/2024
FALSE,24453,"ADICIÓN DE UN INCISO D) AL ARTÍCULO 28 Y REFORMA DEL PÁRRAFO SEGUNDO DEL ARTÍCULO 102 DEL CÓDIGO DE TRABAJO, LEY N° 2 DEL 27 DE AGOSTO DE 1943 Y SUS REFORMAS. PROTECCIÓN EN EL PREAVISO DE TRABAJO.",17/07/2024
FALSE,24452,"ADICION DE UN INCISO E) AL ARTICULO 7, REFORMA DEL ARTICULO 10 Y ADICION DE UN INCISO H) Y I) AL ARTICULO 15 DE LA LEY N.º 9356, LEY ORGÁNICA DE LA JUNTA DE DESARROLLO REGIONAL DE LA ZONA SUR DE LA PROVINCIA DE PUNTARENAS (JUDESUR), DEL 13 DE JUNIO DEL 2016",17/07/2024
TRUE,24451,"LEY QUE REFORMA EL INCISO A) DEL ARTICULO 11, DE LA LEY N° 9829, LEY DE IMPUESTO DEL CINCO POR CIENTO (5%) SOBRE LA VENTA Y EL AUTOCONSUMO DE CEMENTO, PRODUCIDO EN EL TERRITORIO NACIONAL O IMPORTADO PARA EL CONSUMO NACIONAL, DEL 27 DE ABRIL DE 2020",17/07/2024
FALSE,24450,DESAFECTACIÓN DE USO PÚBLICO Y AUTORIZACIÓN A LA JUNTA DE EDUCACION DE LA ESCUELA TEODORO PICADO MICHALSKI PARA QUE DONE UN TERRENO DE SU PROPIEDAD A LA MUNICIPALIDAD DE UPALA,17/07/2024
FALSE,24449,DECLARATORIA DE BENEMÉRITA DE LAS ARTES PATRIAS A MARÍA DEL CARMEN LÍA BONILLA CHAVARRÍA,17/07/2024
FALSE,24448,"LEY PARA EL FORTALECIMIENTO DE LA TRANSPARENCIA Y PUBLICIDAD TRIBUTARIA MUNICIPAL, POR MEDIO DE LA REFORMA AL ARTÍCULO 77 BIS, Y LA ADICIÓN DEL ARTÍCULO 94 BIS Y UN NUEVO TRANSITORIO DEL CÓDIGO MUNICIPAL, LEY 7794, DEL 30 DE ABRIL DE 1998",17/07/2024
FALSE,24452,"ADICION DE UN INCISO E) AL ARTICULO 7, REFORMA DEL ARTICULO 10 Y ADICION DE UN INCISO H) Y I) AL ARTICULO 15 DE LA LEY N.º 9356, LEY ORGÁNICA DE LA JUNTA DE DESARROLLO REGIONAL DE LA ZONA SUR DE LA PROVINCIA DE PUNTARENAS (JUDESUR), DEL 13 DE JUNIO DEL 2016",11/09/2024
FALSE,24453,"ADICIÓN DE UN INCISO D) AL ARTÍCULO 28 Y REFORMA DEL PÁRRAFO SEGUNDO DEL ARTÍCULO 102 DEL CÓDIGO DE TRABAJO, LEY N° 2 DEL 27 DE AGOSTO DE 1943 Y SUS REFORMAS. PROTECCIÓN EN EL PREAVISO DE TRABAJO.",11/09/2024
FALSE,24454,"LEY PARA EL RECONOCIMIENTO DE LAS PRÁCTICAS ANCESTRALES DE LOS PUEBLOS INDÍGENAS: REFORMA DE LA LEY FORESTAL, LEY N.º 7575 DEL 13 DE FEBRERO DE 1996 Y SUS REFORMAS",11/09/2024
FALSE,24455,LEY DE SEGUIMIENTO DE MONITOREO ELECTRÓNICO EN MATERIA DE PENSIONES ALIMENTARIAS,11/09/2024
FALSE,24456,"INTERPRETACIÓN AUTÉNTICA DEL ARTÍCULO 3, INCISO H) DE LA LEY N.º 8642, DEL 30 DE JUNIO DE 2008, LEY GENERAL DE TELECOMUNICACIONES.",11/09/2024
FALSE,24457,LEY PARA ERRADICAR LA NARCOCULTURA EN LA SOCIEDAD COSTARRICENSE,11/09/2024
FALSE,24458,LEY DE PROMOCIÓN Y FOMENTO DE LA CULTURA COSTARRICENSE EN LA ACTIVIDAD TURÍSTICA,11/09/2024
FALSE,24459,"REFORMA DEL ARTÍCULO 235 Y DEL INCISO 1) DEL ARTÍCULO 242 DE LA LEY GENERAL DE MIGRACIÓN Y EXTRANJERÍA N.º 8764 PUBLICADA EN LA GACETA N.º 170 DE 1º DE SETIEMBRE DE 2009, Y SUS REFORMAS, PARA DOTAR DE RECURSOS A LA DIRECCIÓN GENERAL DE MIGRACIÓN Y EXTRANJERÍA, PARA FORTALECER LA POLICÍA PROFESIONAL DE MIGRACION",11/09/2024
FALSE,24460,"REELECCIÓN O NO DEL MAGISTRADO DE LA SALA SEGUNDA DE LA CORTE SUPREMA DE JUSTICIA, LUIS PORFIRIO SÁNCHEZ RODRÍGUEZ",11/09/2024
FALSE,24461,"REFORMA DE LOS ARTÍCULOS 18, 20, 21 Y 22 DE LA LEY N.° 1758, LEY DE RADIO, DE 19 DE JUNIO DE 1954 Y ADICIÓN DE UN SUBINCISO H) AL ARTÍCULO 22 INCISO 1 DE LA LEY Nº 8642, LEY GENERAL DE TELECOMUNICACIONES, DE 30 DE JUNIO DE 2008.",11/09/2024
FALSE,24462,MODIFICACIÓN DE LA LEY N° 10332 AUTORIZACIÓN PARA EMITIR TÍTULOS VALORES EN EL MERCADO INTERNACIONAL,11/09/2024
FALSE,24463,LEY PARA FORTALECER EL FINANCIAMIENTO DEL DEPORTE DE ALTO RENDIMIENTO,11/09/2024
FALSE,24464,LEY PARA PROMOVER EL DESARROLLO DE INFRAESTRUCTURA ESTATAL,11/09/2024
FALSE,24465,"RATIFICACIÓN O NO DE LA SEÑORA MARÍA DEL MAR MUNGUÍA RAMÍREZ, COMO MIEMBRO DE LA JUNTA DIRECTIVA DEL BANCO CENTRAL DE COSTA RICA",11/09/2024
FALSE,24466,"REFORMA DE VARIOS ARTÍCULOS DE LA LEY ORGÁNICA DEL AMBIENTE NÚMERO 7554 DEL 4 DE OCTUBRE DE 1995, Y ADICIÓN DE DOS INCISOS AL ARTÍCULO 4 DEL CÓDIGO MUNICIPAL LEY NÚMERO 7794, DEL 30 DE ABRIL DE 19989, PARA TRANSFERIR COMPETENCIAS A LAS MUNICIPALIDADES Y MODERNIZAR ESTRUCTURALMENTE LA SETENA Y EL MODELO DE EVALUACION DE IMPACTO AMBIENTAL",11/09/2024
FALSE,24467,LEY JAGUAR PARA EL IMPULSO DEL DESARROLLO DE COSTA RICA,11/09/2024
FALSE,24468,MODIFICACIÓN AL DECRETO EJECUTIVO N°44490-MP PARA LA CONVOCATORIA DEL PROYECTO A REFERÉNDUM PARA QUE LA CIUDADANÍA APRUEBE O IMPRUEBE EL PROYECTO DE LEY TITULADO: LEY JAGUAR PARA EL IMPULSO DEL DESARROLLO DE COSTA RICA,11/09/2024
FALSE,24469,"AUTORIZACIÓN A LA MUNICIPALIDAD DE GOICOECHEA PARA PROMOVER LA DISMINUCIÓN DE LA MOROSIDAD DE SUS CONTRIBUYENTES Y COADYUVAR CON LAS FAMILIAS Y COMERCIANTES EN GENERAL, EN LA ATENCIÓN DE SUS OBLIGACIONES TRIBUTARIAS CON EL MUNICIPIO Y FACILITAR LA RECAUDACIÓN",11/09/2024
FALSE,24470,LEY PARA LA EXONERACIÓN DE IMPUESTOS Y CONDONACIÓN DE DEUDAS PARA LOS HABITANTES DE LAS COMUNIDADES AFECTADAS POR LAS INUNDACIONES DE 2022 Y 2023,11/09/2024
FALSE,24471,"REFORMA Y ADICIÓN DE UNA NUEVO CAPITULO A LA LEY CONTRA LA DELINCUENCIA ORGANIZADA, LEY NO 8754 DEL 22 DE SETIEMBRE DE 2009 Y SUS REFORMAS, PARA DESARTICULAR Y PENALIZAR EL SICARIATO.",11/09/2024
FALSE,24472,"REFORMA A LOS ARTÍCULOS 11 Y 18 Y ADICIÓN DE UN NUEVO TRANSITORIO A LA LEY DE FUNDACIONES LEY N.° 5338, DE 28 DE AGOSTO DE 1973 Y SUS REFORMAS",11/09/2024
FALSE,24473,"LEY PARA AUTORIZAR A LA CORPORACIÓN MUNICIPAL DE ALAJUELA PARA QUE DESAFECTE, SEGREGUE Y DONE A LA CAJA COSTARRICENSE DE SEGURO SOCIAL BIENES INMUEBLES DE SU PROPIEDAD",11/09/2024
FALSE,24474,"CONVENIO INTERNACIONAL PARA PREVENIR LA CONTAMINACIÓN POR LOS BUQUES, 1973, PROTOCOLOS I Y II, MODIFICADO POR SUS PROTOCOLOS DE 1978 Y 1997, SUS ANEXOS Y ENMIENDAS",11/09/2024
FALSE,24475,"LEY PARA DECLARAR COMO PRIORIDAD SANITARIA Y PREVENIR, MITIGAR Y CONTENER LA ENFERMEDAD CONOCIDA COMO HUANGLONGBING (HLB) DE LOS CÍTRICOS, EN TODO EL TERRITORIO COSTARRICENSE",11/09/2024
FALSE,24476,"INTERPRETACIÓN AUTÉNTICA DEL INCISO D) DEL ARTÍCULO 10 DE LA LEY N.º 7933, LEY REGULADORA DE LA PROPIEDAD EN CONDOMINIO DEL 28 DE OCTUBRE DE 1999",11/09/2024
FALSE,24477,"REFORMA DEL ARTÍCULO 28 DEL CÓDIGO PROCESAL CIVIL, LEY N.º 9342, DEL 3 DE FEBRERO DE 2016",11/09/2024
FALSE,24478,"LEY CONTRA LA EXTORSIÓN DE PAGO DE PEAJE POR ENTRADA A LOS BARRIOS Y EXTORSIÓN AL COMERCIO, Y PREVENCIÓN DEL INGRESO DE NIÑAS, NIÑOS Y JÓVENES A ORGANIZACIONES DELICTIVAS",11/09/2024
FALSE,24479,LEY DE TRANSPARENCIA DE LOS EXÁMENES DE INCORPORACIÓN A LOS COLEGIOS PROFESIONALES,11/09/2024
FALSE,24480,ADICIÓN DE UN PÁRRAFO FINAL AL ARTÍCULO 188 DE LA CONSTITUCIÓN POLÍTICA PARA OTORGAR AUTONOMÍA ADMINISTRATIVA Y DE GOBIERNO AL BANCO CENTRAL DE COSTA RICA.,11/09/2024
FALSE,24481,"LEY PARA PROTEGER, PROMOVER Y APOYAR LA LACTANCIA MATERNA",11/09/2024
FALSE,24482,RECONOCIMIENTO DE LA CAPACIDAD DE SENTIR DE LOS ANIMALES Y LA ARMONIZACIÓN DE SU ENTORNO CON EL DE LOS SERES HUMANOS,11/09/2024
FALSE,24483,DECLARACIÓN DE BENEMERITAZGO AL PERIODISTA ROLANDO ANGULO ZELEDÓN,11/09/2024
FALSE,24484,LEY PARA LA IMPLEMENTACIÓN DE SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA),11/09/2024
FALSE,24485,LEY DE FORTALECIMIENTO EDUCATIVO PARA PREVENIR ADICCIONES Y COMBATIR LA CRIMINALIDAD,11/09/2024
FALSE,24486,"GENERACIÓN DE EMPLEO Y REACTIVACIÓN ECONÓMICA. REFORMA EL ARTÍCULO 101 DE LA LEY N.° 4179, LEY DE ASOCIACIONES COOPERATIVAS, DE 22 DE AGOSTO DE 1968",11/09/2024
FALSE,24487,"AUTORIZACIÓN AL INSTITUTO COSTARRICENSE DE PUERTOS DEL PACIFICO, PARA DONAR UN LOTE DE SU PROPIEDAD A LA ASOCIACION PARA EL PROGRESO INTEGRAL DE CALLE LA LABOR",11/09/2024
FALSE,24488,LEY DE MODERNIZACIÓN Y ACCESO EQUITATIVO A SERVICIOS PÚBLICOS EN CONDOMINIOS DE INTERÉS SOCIAL,11/09/2024
FALSE,24489,LEY DE ARBOLADO URBANO,11/09/2024
FALSE,24490,"AUTORIZACIÓN AL INSTITUTO COSTARRICENSE DE ACUEDUCTOS Y ALCANTARILLADOS PARA CONDONAR LA DEUDA POR SERVICIOS PRESTADOS DE AGUA POTABLE, CARGOS VARIOS Y MULTAS, FACTURADOS A POBLACIÓN NGÄBE-BUGLÉ DEL CANTÓN DE SIXAOLA, EN LA PROVINCIA DE LIMÓN.",11/09/2024
FALSE,24491,LEY DE IMPUESTOS DE PATENTES MUNICIPALES DEL CANTÓN DE MORA,11/09/2024
FALSE,24492,"REFORMA ARTÍCULOS DE LOS 49 Y 53 DE LA LEY GENERAL DE LA ADMINISTRACIÓN PÚBLICA, LEY N.° 6227 DE 2 DE MAYO DE 1978 Y SUS REFORMAS",11/09/2024
FALSE,24493,LEY DE FORTALECIMIENTO DE LA INSTITUCIONALIDAD DEL SECTOR PÚBLICO PARA LA IGUALDAD EFECTIVA ENTRE MUJERES Y HOMBRES,11/09/2024
FALSE,24494,CREACIÓN DEL PROGRAMA DE ZONAS DE INTERVENCIÓN SOCIAL COMO ESTRATEGIA TERRITORAL PARA LA SEGURIDAD CIUDADANA,11/09/2024
FALSE,24495,"REFORMA AL ARTÍCULO 193 DEL CÓDIGO PROCESAL PENAL N.º 7594, DEL 10 DE ABRIL DE 1996",11/09/2024
FALSE,24496,"REFORMA DEL PÁRRAFO CUARTO DEL ARTÍCULO 1 DE LA LEY DE CONSERVACIÓN DE VIDA SILVESTRE, N° 7317, DE 30 DE OCTUBRE DE 1992 Y SUS REFORMAS.",11/09/2024
FALSE,24497,LEY PARA LA PROMOVER LA CONVIVENCIA Y PREVENCIÓN DE LA VIOLENCIA EN LAS COMUNIDADES,11/09/2024
FALSE,24498,DESAFECTACIÓN DE USO PÚBLICO Y AUTORIZACIÓN A LA JUNTA DE EDUCACIÓN DEL COLEGIO TECNICO PROFESIONAL PADRE ROBERTO EVANS SAUNDERS PARA QUE DONE UN TERRENO DE SU PROPIEDAD A LA MUNICIPALIDAD DE SIQUIRRES,11/09/2024
FALSE,24499,LEY PARA ELIMINAR LA OBLIGACIÓN DE PAGO DE INTERESES SOBRE LOS PAGOS PARCIALES DEL IMPUESTO SOBRE LA RENTA,11/09/2024
FALSE,24500,"REFORMA AL ARTÍCULO 18 DEL CÓDIGO DE TRABAJO, LEY N.° 2 DEL 27 DE AGOSTO DE 1943. LEY PARA GARANTIZAR LOS DERECHOS LABORALES DE LAS PERSONAS PRESTADORAS DE SERVICIOS DE REPARTO MEDIANTE PLATAFORMAS DIGITALES",11/09/2024
FALSE,24501,"LEY PARA EL FORTALECIMIENTO DEL INSTITUTO NACIONAL DE APRENDIZAJE: REFORMA PARCIAL DE LA LEY N° 6868, LEY ORGÁNICA DEL INSTITUTO NACIONAL DE APRENDIZAJE DE 6 DE MAYO DE 1983 Y SUS REFORMAS",11/09/2024
FALSE,24502,"REFORMA DEL ARTÍCULO 133 DEL CÓDIGO ELECTORAL, LEY N°8765",11/09/2024
FALSE,24503,REFORMA DEL CÓDIGO ELECTORAL PARA PERMITIR EL USO DE CERTIFICADOS DE CESIÓN DE DEUDA POLÍTICA EN CAMPAÑAS MUNICIPALES Y GASTOS PERMANENTES DE PERIODOS NO ELECTORALES,11/09/2024
FALSE,24504,SE INVESTIGUE EXHAUSTIVAMENTE TODO LO RELACIONADO CON LOS CONTRATOS Y POSIBLES IRREGULARIDADES EN LA ADQUISICIÓN Y UTILIZACIÓN DE CARPAS PARA LA CONSTRUCCIÓN DE CÁRCELES EN EL PAÍS.,11/09/2024
FALSE,24505,INVESTIGACION SOBRE DENUNCIA CONTRA LA DEFENSORA DE LOS HABITANTES,11/09/2024
FALSE,24506,"LEY PARA GARANTIZAR LA ATENCIÓN CON PERTINENCIA CULTURAL A LAS PERSONAS INDÍGENAS DE COSTA RICA: REFORMAS A LA LEY GENERAL DE SALUD, N° 5395, DEL 30 DE OCTUBRE DE 1973 Y SUS REFORMAS",11/09/2024
FALSE,24507,"ADICIÓN DE UN PÁRRAFO TERCERO AL ARTÍCULO 294 Y ADICIÓN DE LOS ARTÍCULOS 294 BIS Y 294 TER A LA LEY N° 5395 DEL 30 DE OCTUBRE DE 1973, LEY GENERAL DE SALUD, LEY PARA MODERNIZAR LA LEY GENERAL DE SALUD EN MATERIA DE CONTAMINACIÓN SONORA Y PROMOVER LOS PAISAJES SONOROS POSITIVOS",11/09/2024
FALSE,24508,LEY PARA LA CREACIÓN DEL FIDEICOMISO CAFETALERO,11/09/2024
FALSE,24509,LEY PARA LA DECLARATORIA DE LAS BOTELLAS DE PLÁSTICO DE UN SOLO USO COMO RESIDUOS DE MANEJO ESPECIAL,11/09/2024
FALSE,24510,LEY DE IMPUESTOS A LAS ACTIVIDADES ECONÓMICAS DE LA MUNICIPALIDAD DE GOLFITO,11/09/2024
FALSE,24511,"INVESTIGACIÓN QUE INDAGUE LAS RELACIONES DE CASA PRESIDENCIAL, EL MINISTERIO DE AMBIENTE Y ENERGÍA, LA MUNICIPALIDAD DE TALAMANCA, EL SISTEMA NACIONAL DE ÁREAS DE CONSERVACIÓN Y CUALQUIER OTRA ENTIDAD PÚBLICA CON EL EMPRESARIO ALLAN PACHECO DENT, ASÍ COMO CUALQUIER OTRA INCIDENCIA IRREGULAR DE PARTICULARES CON EL PODER EJECUTIVO PARA EL OTORGAMIENTO DE PERMISOS DE CUALQUIER ÍNDOLE EN LA ZONA DEL REFUGIO NACIONAL DE VIDA SILVESTRE GANDOCA-MANZANILLO Y SUS ALREDEDORES.",11/09/2024
FALSE,24512,"REFORMA A LA LEY N° 7430 LEY DE FOMENTO DE LA LACTANCIA MATERNA, DE 14 DE SEPTIEMBRE DE 1994 Y SUS REFORMAS",11/09/2024
FALSE,24513,LEY DE CREACIÓN DEL DEPÓSITO LIBRE COMERCIAL DE LA PROVINCIA DE LIMÓN,11/09/2024
FALSE,24514,"INVESTIGACIÓN SOBRE TODOS LOS PERMISOS OTORGADOS POR CUALQUIER ENTE ESTATAL A LAS PROPIEDADES UBICADAS DENTRO O CERCANAS AL REFUGIO NACIONAL DE VIDA SILVESTRE GANDOCA-MANZANILLO, LAS RELACIONES DE CASA PRESIDENCIAL Y LA MUNICIPALIDAD DE TALAMANCA CON LOS PROPIETARIOS, INCLUYENDO LAS INACCIONES O NEGLIGENCIAS DERIVADAS DE ÓRDENES JUDICIALES AL ESTADO PARA RECUPERAR PROPIEDADES QUE SON PARTE DEL PATRIMONIO DEL ESTADO Y QUE DE MANERA IRREGULAR FUERON TRASPASADAS A PROPIETARIOS PRIVADOS",11/09/2024
FALSE,24515,LEY PARA EXCEPTUAR DE LA APLICACIÓN DE LA REGLA FISCAL AL PODER JUDICIAL,11/09/2024
FALSE,24516,"ADICIÓN DE UN ARTÍCULO 214 TER AL CÓDIGO PENAL, LEY N°4573 DEL 04 DE MAYO DE 1970, EXTORSIÓN SEXUAL",11/09/2024
FALSE,24517,PRESCRIPCION DE OFICIO PARA DEUDAS FINANCIERAS EN COBRO JUDICIAL,11/09/2024
FALSE,24518,LEY QUE DOTA DE MAYOR FINANCIAMIENTO LA SEGURIDAD PUBLICA,11/09/2024
FALSE,24519,"REFORMA Y ADICIÓN DE VARIOS ARTÍCULOS A LA LEY N°10204, LEY PROTECTORA DE LA ACTIVIDAD DEL BOYEO Y LA CARRETA COSTARRICENSE, DE 5 DE MAYO DE 2022",11/09/2024
FALSE,24520,LEY PARA AUMENTAL EL PRESUPUESTO QUE INVIERTE EL ESTADO EN LA ATENCIÓN DE LA SALUD MENTAL,11/09/2024
FALSE,24521,"LEY PARA QUE SE MODIFIQUE EL ARTICULO 52, DE LA LEY N.º 8131, LEY DE LA ADMINISTRACIÓN FINANCIERA DE LA REPÚBLICA Y PRESUPUESTOS PÚBLICOS",11/09/2024
FALSE,24522,"DECLARACIÓN DE BENEMERITAZGO DE LA PATRIA AL INSTITUTO NACIONAL DE SEGUROS, INS",11/09/2024
FALSE,24523,"REFORMA DEL ARTÍCULO 20 DE LA LEY CONTRA LA DELINCUENCIA ORGANIZADA, LEY N.°8754, DE 24 DE JULIO DE 2009 Y SUS REFORMAS",11/09/2024
FALSE,24524,"LEY DE INCLUSIÓN, FORTALECIMIENTO Y DESARROLLO INTEGRAL DE LA PERSONA ADULTA MAYOR Y PERSONAN CON DISCAPACIDAD. REFORMA A LA LEY 7794, CÓDIGO MUNICIPAL, DE 30 DE ABRIL DE 1998",11/09/2024
FALSE,24525,LEY DE REINVINDICACIÓN DEL TRABAJADOR INDEPENDIENTE MEDIANTE LA REFORMA AL ARTÍCULO 3 DE LA LEY N°17 LEY CONSTITUTIVA DE LA CAJA COSTARRICENSE DE SEGURO SOCIAL CCSS Y AL ARTÍCULO 15 DE LA LEY N°7092 LEY DEL IMPUESTO SOBRE LA RENTA,11/09/2024
FALSE,24526,MODIFICACIÓN DEL ARTÍCULO 20 Y ADICION DEL ARTÍCULO 20 BIS Y DEL ARTÍCULO 21 BIS A LA LEY DE PROCEDIMIENTOS DE OBSERVANCIA DE LOS DERECHOS DE PROPIEDAD INTELECTUAL N.º 8039 Y SUS REFORMAS,11/09/2024
FALSE,24527,"REFORMA PARCIAL DE LA LEY N°4179, LEY DE ASOCIACIONES COOPERATIVAS Y CREACION DEL INFOCOOP DEL 22 DE AGOSTO DE 1968 Y SUS REFORMAS, PARA LA CONSTITUCIÓN E INSCRIPCIÓN DE COOPERATIVAS",11/09/2024
FALSE,24528,DECLARATORIA DE INTERÉS PÚBLICO E INCLUSIÓN DE UN PLAN DE SALUD MENTAL EN EL SISTEMA EDUCATIVO COSTARRICENSE,11/09/2024
